username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
"ShEd2299;2014-08-11 14:37;0;4;""You never know what you got until it's gone"";Wood River"," IL;;;""498946207218405376"";https://twitter.com/ShEd2299/status/498946207218405376",,,,,,,,
"RCToy;2014-08-11 14:36;0;0;""@Charter I already called & got a robo help desk"";Missouri"," USA;@Charter;;""498946172547907584"";https://twitter.com/RCToy/status/498946172547907584",,,,,,,,
"jimistlboy;2014-08-11 14:36;1;1;""Gilbert really drills a nice dig to Bailey. ...ample arm strength but he is not looking anyone off. #Ramscamp"";Bridgeton"," MO;;#Ramscamp;""498946100020015104"";https://twitter.com/jimistlboy/status/498946100020015104",,,,,,,,
"Dmario__;2014-08-11 14:36;1;1;""@MonicaGpie pic.twitter.com/HZnJXuaBSL"";St Louis"," MO;@MonicaGpie;;""498946076468969472"";https://twitter.com/Dmario__/status/498946076468969472",,,,,,,,
"HEELNelsz;2014-08-11 14:36;1;0;""People unfollow me on here? That's cute. Lol I have a real life following as well."";University City"," MO;;;""498946038229512192"";https://twitter.com/HEELNelsz/status/498946038229512192",,,,,,,,
"DevinAnchored;2014-08-11 14:36;1;1;""Violence only begets violence. #PrayForSTL #PrayForFerguson and when the smoke settles be ready to rebuild."";St Charles"," MO;;#PrayForSTL #PrayForFerguson;""498946035591704576"";https://twitter.com/DevinAnchored/status/498946035591704576",,,,,,,,
"megaaanellis;2014-08-11 14:36;0;0;""@BrookieBozz thanks lovey! i miss you!"";St Peters"," MO;@BrookieBozz;;""498946018268819456"";https://twitter.com/megaaanellis/status/498946018268819456",,,,,,,,
"ktgreaves;2014-08-11 14:36;0;0;""Actually if you work out right before going to sleep your muscles burn 2x as many calories. Just sayin."";Affton"," MO;;;""498946009301389313"";https://twitter.com/ktgreaves/status/498946009301389313",,,,,,,,
"terryschriber1;2014-08-11 14:36;0;0;""NEED 2 TWEET!!! 1SODA SUMPN 2EAT 1PIPEFUL OF BUD AN 1MOVIE!!! U WANT A SELFIE I WANT PAID!!!"";Illinois"," USA;;;""498945972287057921"";https://twitter.com/terryschriber1/status/498945972287057921",,,,,,,,
"biaaattch;2014-08-11 14:35;0;0;""@FrankeCassidy supposedly we can hang ourselves"";Fairmont City"," IL;@FrankeCassidy;;""498945953731448832"";https://twitter.com/biaaattch/status/498945953731448832",,,,,,,,
"efiudo6974;2014-08-11 14:35;0;0;""@lindscollins97 yeah and we all got bitched at by the seniors"";Fairmont City"," IL;@lindscollins97;;""498945945485049857"";https://twitter.com/efiudo6974/status/498945945485049857",,,,,,,,
"JustAFuck21;2014-08-11 14:35;0;0;""Well I feel like shit..."";St Peters"," MO;;;""498945873288495104"";https://twitter.com/JustAFuck21/status/498945873288495104",,,,,,,,
"MrAntike184;2014-08-11 14:35;0;0;""@LOZ_DarkLink *confused* are you okay?"";Granite City"," IL;@LOZ_DarkLink;;""498945827218288640"";https://twitter.com/MrAntike184/status/498945827218288640",,,,,,,,
"monazubi5;2014-08-11 14:35;0;0;""Pretty excited that the party at the beach carnival is right next to my neighborhood"";Pontoon Beach"," IL;;;""498945813821665280"";https://twitter.com/monazubi5/status/498945813821665280",,,,,,,,
"JR__Swish;2014-08-11 14:35;0;0;""@TacoBell you mfs can start delivering any minute now"";Granite City"," IL;@TacoBell;;""498945745995972608"";https://twitter.com/JR__Swish/status/498945745995972608",,,,,,,,
"MrAntike184;2014-08-11 14:35;0;0;""@Alexa_AP08 because he won't tell me and well... I'm his bro so I don't know why he wouldn't just say yes or no"";Granite City"," IL;@Alexa_AP08;;""498945745009913857"";https://twitter.com/MrAntike184/status/498945745009913857",,,,,,,,
"YoureWholeRTM;2014-08-11 14:34;2;2;""â€œ @DamnHisBody : A 2 year old kid fell from a 5 story window in NYC today & when his father saw he jumped out to die with him. â€ù smh"";St Louis"," MO;@DamnHisBody;;""498945679692025856"";https://twitter.com/YoureWholeRTM/status/498945679692025856",,,,,,,,
"RaachelODay;2014-08-11 14:34;0;0;""I think I know why I'm subconsciously upset"";Florissant"," MO;;;""498945669244018688"";https://twitter.com/RaachelODay/status/498945669244018688",,,,,,,,
"HEELNelsz;2014-08-11 14:34;4;0;""If y'all have faith in God trust and believe everything will be handled."";University City"," MO;;;""498945614374117376"";https://twitter.com/HEELNelsz/status/498945614374117376",,,,,,,,
"MrAntike184;2014-08-11 14:34;0;0;""@LOZ_DarkLink about what bro? *starts his 3rd keg*"";Granite City"," IL;@LOZ_DarkLink;;""498945478319284224"";https://twitter.com/MrAntike184/status/498945478319284224",,,,,,,,
"jimistlboy;2014-08-11 14:33;0;1;""Just noticed Darren Woodard on the side in a ball cap #ramscamp"";Bridgeton"," MO;;#ramscamp;""498945448275476483"";https://twitter.com/jimistlboy/status/498945448275476483",,,,,,,,
"LidahLove;2014-08-11 14:33;0;0;""I need to start packing now"";St Louis"," MO;;;""498945320345030656"";https://twitter.com/LidahLove/status/498945320345030656",,,,,,,,
"___102312;2014-08-11 14:33;0;0;""We'll since MFs stealing outta the gally go steal me a size 4 in jays or KDs I'm jp"";Florissant"," MO;;;""498945315118907392"";https://twitter.com/___102312/status/498945315118907392",,,,,,,,
"KalenThePenguin;2014-08-11 14:33;0;0;""Not gonna get shit for sleep tonight"";Missouri"," USA;;;""498945287239790592"";https://twitter.com/KalenThePenguin/status/498945287239790592",,,,,,,,
"ktgreaves;2014-08-11 14:32;0;0;""I wish my brother would make better decisions."";Affton"," MO;;;""498945138995888128"";https://twitter.com/ktgreaves/status/498945138995888128",,,,,,,,
"efiudo6974;2014-08-11 14:32;0;0;""Sophia about to get blocked again"";Fairmont City"," IL;;;""498945107379240961"";https://twitter.com/efiudo6974/status/498945107379240961",,,,,,,,
"_MarniceShanay;2014-08-11 14:32;0;0;""@_BMurdaa I love u more!!"";Hazelwood"," MO;@_BMurdaa;;""498945079357087744"";https://twitter.com/_MarniceShanay/status/498945079357087744",,,,,,,,
"littlebrinks2;2014-08-11 14:32;0;2;""Imma try to run around north county", if you live on my running route, you might wanna be ready for me," just incase I gotta run in your house"";Northwoods"," MO;;;""498945071946145793"";https://twitter.com/littlebrinks2/status/498945071946145793",,,,,
"_Swylie;2014-08-11 14:32;0;6;""2fab4fires pic.twitter.com/VHICdrLmfW"";St Peters"," MO;;;""498945068032483329"";https://twitter.com/_Swylie/status/498945068032483329",,,,,,,,
"MrAntike184;2014-08-11 14:32;0;0;""@LOZ_DarkLink what's wrong? *continues drinking*"";Granite City"," IL;@LOZ_DarkLink;;""498945056112259072"";https://twitter.com/MrAntike184/status/498945056112259072",,,,,,,,
"GeneTomlin;2014-08-11 14:32;0;0;""@MattSockoch shit i do too"";Collinsville"," IL;@MattSockoch;;""498945055143759872"";https://twitter.com/GeneTomlin/status/498945055143759872",,,,,,,,
"jimistlboy;2014-08-11 14:32;0;1;""Sammy Brown getting significant time with the second string....pass of the day from Sam to Quick on a very long corner route #ramscamp"";Missouri"," USA;;#ramscamp;""498945044661796864"";https://twitter.com/jimistlboy/status/498945044661796864",,,,,,,,
"meggo63;2014-08-11 14:32;0;0;""Yummy ice cream pic.twitter.com/RKJJZZebT1"";Sappington"," MO;;;""498945034683957250"";https://twitter.com/meggo63/status/498945034683957250",,,,,,,,
"terryschriber1;2014-08-11 14:32;0;0;""@KaaaaaatyPerry NOW THAT DEPENDZ ON U!!!"";Collinsville"," IL;@KaaaaaatyPerry;;""498945002404581377"";https://twitter.com/terryschriber1/status/498945002404581377",,,,,,,,
"GeneTomlin;2014-08-11 14:32;0;1;""I love how i can walk out of the store and forget where i parked and just skim the top the cars"";Collinsville"," IL;;;""498944994456383488"";https://twitter.com/GeneTomlin/status/498944994456383488",,,,,,,,
"efiudo6974;2014-08-11 14:32;0;0;""Text or snapchat me!"";Fairmont City"," IL;;;""498944974298181632"";https://twitter.com/efiudo6974/status/498944974298181632",,,,,,,,
"MarielAnnette_;2014-08-11 14:32;0;2;""""guys were gonna start drinking at 8 am tomorrow so be sure to eat breakfast"" okay."";St Louis"," MO;;;""498944969307324416"";https://twitter.com/MarielAnnette_/status/498944969307324416",,,,,,,,
"MrAntike184;2014-08-11 14:31;0;0;""@Alexa_AP08 are you and my brother dating?"";Granite City"," IL;@Alexa_AP08;;""498944899736035329"";https://twitter.com/MrAntike184/status/498944899736035329",,,,,,,,
"efiudo6974;2014-08-11 14:31;0;0;""I swear freshmen need to learn how to walk in the halls/stairs"";Fairmont City"," IL;;;""498944722203721728"";https://twitter.com/efiudo6974/status/498944722203721728",,,,,,,,
"aeternusphoto;2014-08-11 14:30;0;0;""Clare's girls today: http:// vimeo.com/18578016 #poorclares #nun #catholicstl @Imagine_sisters"";Ladue"," MO;@Imagine_sisters;#poorclares #nun #catholicstl;""498944682244579328"";https://twitter.com/aeternusphoto/status/498944682244579328",,,,,,,,
"DessieBri;2014-08-11 14:30;0;0;""Had a dream abt someone else too...hmm"";Jennings"," MO;;;""498944588602552320"";https://twitter.com/DessieBri/status/498944588602552320",,,,,,,,
"DBeard_2;2014-08-11 14:30;1;0;""This weekend finna be busy af"";St Louis"," MO;;;""498944553693761536"";https://twitter.com/DBeard_2/status/498944553693761536",,,,,,,,
"DessieBri;2014-08-11 14:30;0;0;""Had a dream abt my friends...miss how we were"";Jennings"," MO;;;""498944507283374080"";https://twitter.com/DessieBri/status/498944507283374080",,,,,,,,
"LeahElledge24;2014-08-11 14:29;0;1;""@averyroberts23 love u so much"";Missouri"," USA;@averyroberts23;;""498944356473401344"";https://twitter.com/LeahElledge24/status/498944356473401344",,,,,,,,
"megaaanellis;2014-08-11 14:29;1;1;""@__xohanxo love and miss you pretty girl! thank you!"";St Peters"," MO;@__xohanxo;;""498944323346382848"";https://twitter.com/megaaanellis/status/498944323346382848",,,,,,,,
"jimistlboy;2014-08-11 14:29;1;4;""Rams need a tackle version of Davin Joseph on the roster #ramscamp"";Bridgeton"," MO;;#ramscamp;""498944305629634560"";https://twitter.com/jimistlboy/status/498944305629634560",,,,,,,,
"TGI_Larry;2014-08-11 14:29;0;0;""Bae straight bought me lunch. I had no idea either"";Bellefontaine Neighbors"," MO;;;""498944275023798273"";https://twitter.com/TGI_Larry/status/498944275023798273",,,,,,,,
"melschaeffer;2014-08-11 14:29;0;0;""So today was pretty much me sitting at my desk eating #monday"";St Louis"," MO;;#monday;""498944271534133248"";https://twitter.com/melschaeffer/status/498944271534133248",,,,,,,,
"MrAntike184;2014-08-11 14:29;0;0;""@LOZ_DarkLink were brothers! Of course it's my business. *drinks more of a keg* I told you about Elia"";Granite City"," IL;@LOZ_DarkLink;;""498944267755077632"";https://twitter.com/MrAntike184/status/498944267755077632",,,,,,,,
"dylanericbecker;2014-08-11 14:29;0;3;""You just broke out of the danger zone."";Richmond Heights"," MO;;;""498944225338486785"";https://twitter.com/dylanericbecker/status/498944225338486785",,,,,,,,
"CeasarGonzales;2014-08-11 14:29;0;1;""#HealOurCity"";Missouri"," USA;;#HealOurCity;""498944193742794753"";https://twitter.com/CeasarGonzales/status/498944193742794753",,,,,,,,
"JrayHaliday;2014-08-11 14:28;0;0;""@Shabaneezy @WarMachine170 apparently beat her half to death"";St Charles"," MO;@Shabaneezy @WarMachine170;;""498944182913105920"";https://twitter.com/JrayHaliday/status/498944182913105920",,,,,,,,
"Halhunt_;2014-08-11 14:28;0;2;""80% of success is just showing up."";Wood River"," IL;;;""498944104240140289"";https://twitter.com/Halhunt_/status/498944104240140289",,,,,,,,
"efiudo6974;2014-08-11 14:28;0;0;""Holy shit I'm tired I don't wanta work tonight"";Fairmont City"," IL;;;""498944072585728000"";https://twitter.com/efiudo6974/status/498944072585728000",,,,,,,,
"illumiMAUDIE;2014-08-11 14:28;0;4;""""Ok", sounds good! Bye," I love you"" Well my dermatology appointment Wednesday is going to be a bit awkward"";Des Peres"," MO;;;""498944049500262401"";https://twitter.com/illumiMAUDIE/status/498944049500262401",,,,,,
"megaaanellis;2014-08-11 14:28;0;1;""i have no words. not sure if i should be embarrassed or proud by this picture. thx pine street. @KalesHogey pic.twitter.com/XHW5pLV3wW"";St Peters"," MO;@KalesHogey;;""498944028197388288"";https://twitter.com/megaaanellis/status/498944028197388288",,,,,,,,
"Jerakal;2014-08-11 14:28;0;1;""@bunny5moon @Darrark How do you feed... (Click) A hungry man?"";Kirkwood"," MO;@bunny5moon @Darrark;;""498943981946798080"";https://twitter.com/Jerakal/status/498943981946798080",,,,,,,,
"EWR2STL;2014-08-11 14:28;0;0;""A-IPA w/ malt. Good beer. - Drinking a Black IPA by @schlafly at @schlafly â€” http:// untpd.it/s/c106642387"";Maplewood"," MO;@schlafly @schlafly;;""498943975689297920"";https://twitter.com/EWR2STL/status/498943975689297920",,,,,,,,
"jimistlboy;2014-08-11 14:28;0;1;""TJ with a nice break up of a long pass #ramscamp"";Missouri"," USA;;#ramscamp;""498943960119652352"";https://twitter.com/jimistlboy/status/498943960119652352",,,,,,,,
"Tadoe_6Os;2014-08-11 14:28;0;0;""That's hella far from the city"";St Louis"," MO;;;""498943941673119744"";https://twitter.com/Tadoe_6Os/status/498943941673119744",,,,,,,,
"Im_Greatness0;2014-08-11 14:27;0;0;""@paigehogle You know school starts Wednesday right??"";Granite City"," IL;@paigehogle;;""498943867899494400"";https://twitter.com/Im_Greatness0/status/498943867899494400",,,,,,,,
"LydLyd1313;2014-08-11 14:27;0;0;""So crowded #couldntmove @riots in Ferguson http:// instagram.com/p/rkrPYDrGRS/"";Illinois"," USA;@riots;#couldntmove;""498943810924072960"";https://twitter.com/LydLyd1313/status/498943810924072960",,,,,,,,
"MrAntike184;2014-08-11 14:27;0;0;""@LOZ_DarkLink I'll just ask her later! *accidentally shoots somebody with my bow* oops..."";Granite City"," IL;@LOZ_DarkLink;;""498943809003065344"";https://twitter.com/MrAntike184/status/498943809003065344",,,,,,,,
"Jerakal;2014-08-11 14:27;0;1;""You're not fully clean"," and you never will be."";Kirkwood"," MO;;;""498943787423367168"";https://twitter.com/Jerakal/status/498943787423367168",,,,,,,
"jimistlboy;2014-08-11 14:26;0;1;""Offensive tackle depth though continues to be very worrisome. Person is very slow out of his stance #ramscamp"";Bridgeton"," MO;;#ramscamp;""498943671111139329"";https://twitter.com/jimistlboy/status/498943671111139329",,,,,,,,
"megaaanellis;2014-08-11 14:26;0;1;""@kelseylynn2794 thanks kels!"";St Peters"," MO;@kelseylynn2794;;""498943663007727616"";https://twitter.com/megaaanellis/status/498943663007727616",,,,,,,,
"MrAntike184;2014-08-11 14:26;0;0;""@Cutiebabymids it's been 4:00 PM for 25 minutes lol sorry"";Granite City"," IL;@Cutiebabymids;;""498943554224287744"";https://twitter.com/MrAntike184/status/498943554224287744",,,,,,,,
"_MarniceShanay;2014-08-11 14:26;0;0;""@treboi"";Hazelwood"," MO;@treboi;;""498943495659216896"";https://twitter.com/_MarniceShanay/status/498943495659216896",,,,,,,,
"jrhyne1976;2014-08-11 14:26;0;0;""@mikemearls @Wizards_DnD what level char do I need for #ShadowontheMoonsea at #gencon ? Can we bring 1 from home"," or must we use workshop?"";East Alton"," IL;@mikemearls @Wizards_DnD;#ShadowontheMoonsea #gencon;""498943492685840385"";https://twitter.com/jrhyne1976/status/498943492685840385",,,,,,,
"kmk797;2014-08-11 14:26;0;0;""Looting in Ferguson Riots after Mike Brown killedâ€_: http:// youtu.be/F3aYsyr3alA"";Ferguson"," MO;;;""498943484548505600"";https://twitter.com/kmk797/status/498943484548505600",,,,,,,,
"jimistlboy;2014-08-11 14:26;0;1;""Demetrius Rhaney needs a ton of weight room work and technique but there is talent there. Barrett Jones has th pedigree #ramscamp"";Bridgeton"," MO;;#ramscamp;""498943440004997120"";https://twitter.com/jimistlboy/status/498943440004997120",,,,,,,,
"Mitch_belinski;2014-08-11 14:25;0;1;""Julian is hella mex"";St Charles"," MO;;;""498943407935737856"";https://twitter.com/Mitch_belinski/status/498943407935737856",,,,,,,,
"RussellAyre;2014-08-11 14:25;0;0;""@The_Glitterman Vote for Leslie Craig on @artistsignal . The top artist each month gets $10","000. http:// artistsignal.com/lesliecraig"";Webster Groves"," MO;@The_Glitterman @artistsignal;;""498943345888997376"";https://twitter.com/RussellAyre/status/498943345888997376",,,,,,,
"Bad_Girl532;2014-08-11 14:25;0;0;""I see your true colors."";Breckenridge Hills"," MO;;;""498943339433963520"";https://twitter.com/Bad_Girl532/status/498943339433963520",,,,,,,,
"Tadoe_6Os;2014-08-11 14:25;0;0;""Damn I still can't believe I'm moving out to Wildwood..."";St Louis"," MO;;;""498943303715274752"";https://twitter.com/Tadoe_6Os/status/498943303715274752",,,,,,,,
"Jerakal;2014-08-11 14:25;0;0;""""Uh-oh."" (Cocks gun) (Whispers:) ""Spaghettios."""";Kirkwood"," MO;;;""498943290830368768"";https://twitter.com/Jerakal/status/498943290830368768",,,,,,,,
"RussellAyre;2014-08-11 14:25;0;0;""@AC_DC76 Vote for Leslie Craig on @artistsignal . The top artist each month gets $10","000. http:// artistsignal.com/lesliecraig"";Webster Groves"," MO;@AC_DC76 @artistsignal;;""498943276561338368"";https://twitter.com/RussellAyre/status/498943276561338368",,,,,,,
"KillaKobeCeo;2014-08-11 14:25;0;0;""pic.twitter.com/47asQQWBqf"";Moline Acres"," MO;;;""498943259415023616"";https://twitter.com/KillaKobeCeo/status/498943259415023616",,,,,,,,
"RussellAyre;2014-08-11 14:25;0;0;""@RealKingTarik Vote for Leslie Craig on @artistsignal . The top artist each month gets $10","000. http:// artistsignal.com/lesliecraig"";Webster Groves"," MO;@RealKingTarik @artistsignal;;""498943247494811648"";https://twitter.com/RussellAyre/status/498943247494811648",,,,,,,
"KillaKobeCeo;2014-08-11 14:25;0;0;""pic.twitter.com/G01imPxbKT"";Moline Acres"," MO;;;""498943231308996608"";https://twitter.com/KillaKobeCeo/status/498943231308996608",,,,,,,,
"MrAntike184;2014-08-11 14:25;0;0;""@LOZ_DarkLink I agree! Are you and AP dating now?"";Granite City"," IL;@LOZ_DarkLink;;""498943216855416833"";https://twitter.com/MrAntike184/status/498943216855416833",,,,,,,,
"RussellAyre;2014-08-11 14:25;0;0;""@ProOphelia Vote for Leslie Craig on @artistsignal . The top artist each month gets $10","000. http:// artistsignal.com/lesliecraig"";Webster Groves"," MO;@ProOphelia @artistsignal;;""498943186056667136"";https://twitter.com/RussellAyre/status/498943186056667136",,,,,,,
"_MarniceShanay;2014-08-11 14:24;0;0;""I gave brittany the biggest hug when I seen her ."";Hazelwood"," MO;;;""498943154087661568"";https://twitter.com/_MarniceShanay/status/498943154087661568",,,,,,,,
"Mitch_belinski;2014-08-11 14:24;0;1;""@Devvvvo go"";St Charles"," MO;@Devvvvo;;""498943145611366400"";https://twitter.com/Mitch_belinski/status/498943145611366400",,,,,,,,
"RussellAyre;2014-08-11 14:24;0;0;""@Luisisreborn Vote for Leslie Craig on @artistsignal . The top artist each month gets $10","000. http:// artistsignal.com/lesliecraig"";Webster Groves"," MO;@Luisisreborn @artistsignal;;""498943142695936000"";https://twitter.com/RussellAyre/status/498943142695936000",,,,,,,
"__laurenforeign;2014-08-11 14:24;0;0;""My dream last night"";St Louis"," MO;;;""498943088316796928"";https://twitter.com/__laurenforeign/status/498943088316796928",,,,,,,,
"_MarniceShanay;2014-08-11 14:24;0;0;""First day was cool ."";Hazelwood"," MO;;;""498943014874521600"";https://twitter.com/_MarniceShanay/status/498943014874521600",,,,,,,,
"YoureWholeRTM;2014-08-11 14:24;0;0;""Today is a new day but there is no sunshine"";St Louis"," MO;;;""498942979302629376"";https://twitter.com/YoureWholeRTM/status/498942979302629376",,,,,,,,
"__laurenforeign;2014-08-11 14:23;0;0;""First day was coo nsht"";St Louis"," MO;;;""498942867780296704"";https://twitter.com/__laurenforeign/status/498942867780296704",,,,,,,,
"crateronthem00n;2014-08-11 14:23;0;1;""@thenameslane @angelatomiak you're just getting cocky now"";St Louis"," MO;@thenameslane @angelatomiak;;""498942858984845312"";https://twitter.com/crateronthem00n/status/498942858984845312",,,,,,,,
"jimistlboy;2014-08-11 14:23;1;2;""Shaun Hill having a good day so far #ramscamp"";Bridgeton"," MO;;#ramscamp;""498942783063748608"";https://twitter.com/jimistlboy/status/498942783063748608",,,,,,,,
"Kerry0n;2014-08-11 14:23;0;4;""Note the Justin Bieber board game"";Florissant"," MO;;;""498942770984153089"";https://twitter.com/Kerry0n/status/498942770984153089",,,,,,,,
"kateWHITE_SHARK;2014-08-11 14:23;0;2;""Oh my god paint is not supposed to be in your eyes ever #saveme"";Creve Coeur"," MO;;#saveme;""498942765447659520"";https://twitter.com/kateWHITE_SHARK/status/498942765447659520",,,,,,,,
"srsly_jenna;2014-08-11 14:23;0;0;""When I start learning to put God as my number one priority in life....things will change. Drastically."";Florissant"," MO;;;""498942765359562752"";https://twitter.com/srsly_jenna/status/498942765359562752",,,,,,,,
"MrAntike184;2014-08-11 14:23;0;0;""@Alexa_AP08 I'm a going to die"";Granite City"," IL;@Alexa_AP08;;""498942713182441472"";https://twitter.com/MrAntike184/status/498942713182441472",,,,,,,,
"JuicyJ_2012;2014-08-11 14:23;0;1;""Was just sitting here thinking"," if a Race war beaks out... @lilmbaby11 and @BrandonMeans06 are screwed. White AND Black VS them.."";Kirkwood"," MO;@lilmbaby11 @BrandonMeans06;;""498942709252767744"";https://twitter.com/JuicyJ_2012/status/498942709252767744",,,,,,,
"TTTori11;2014-08-11 14:22;0;0;""@Twerkenburg OBVIOUSLY"";Missouri"," USA;@Twerkenburg;;""498942642529763328"";https://twitter.com/TTTori11/status/498942642529763328",,,,,,,,
"beingtree;2014-08-11 14:22;0;1;""the #tweettornado has ended. #dontbemad"";St Louis"," MO;;#tweettornado #dontbemad;""498942574514929664"";https://twitter.com/beingtree/status/498942574514929664",,,,,,,,
"Willy3Piece;2014-08-11 14:22;0;0;""Lhh dude nude game too strong! #TheChampIsHere pic.twitter.com/Gf7tTZdzqC"";Berkeley"," MO;;#TheChampIsHere;""498942555623395329"";https://twitter.com/Willy3Piece/status/498942555623395329",,,,,,,,
"Kerry0n;2014-08-11 14:22;0;7;""""I don't feel like I have THAT much excess stuff"" says @boomROSEted as she packs up the car to leave for college pic.twitter.com/PxyPsw4Ocf"";Florissant"," MO;@boomROSEted;;""498942552993579008"";https://twitter.com/Kerry0n/status/498942552993579008",,,,,,,,
"Im_Greatness0;2014-08-11 14:22;0;0;""Wya @__TraaapLord__ @Torrey_Deal11"";Granite City"," IL;@__TraaapLord__ @Torrey_Deal11;;""498942537478856704"";https://twitter.com/Im_Greatness0/status/498942537478856704",,,,,,,,
"a_rebekah_;2014-08-11 14:22;0;0;""I'm looking forward to this year"";St Louis"," MO;;;""498942535046152192"";https://twitter.com/a_rebekah_/status/498942535046152192",,,,,,,,
"FrankLaddSTL;2014-08-11 14:22;0;0;""@SWashingtonTV you were a rockstar last nite with your coverage. #endurancegame #5hoursplussolo"";Jennings"," MO;@SWashingtonTV;#endurancegame #5hoursplussolo;""498942530478948352"";https://twitter.com/FrankLaddSTL/status/498942530478948352",,,,,,,,
"fvckjack;2014-08-11 14:22;0;3;""Yo"," yo yo.... Chill outtt. @mkaaat09"";St Peters"," MO;@mkaaat09;;""498942526821126145"";https://twitter.com/fvckjack/status/498942526821126145",,,,,,,
"Vic_tuhh;2014-08-11 14:22;0;2;""All my nigguz look tan af pic.twitter.com/n8dgGma9RO"";Olivette"," MO;;;""498942524103589889"";https://twitter.com/Vic_tuhh/status/498942524103589889",,,,,,,,
"l_t_futrell;2014-08-11 14:22;0;0;""I got my rubberbands on today these things hurt!"";Florissant"," MO;;;""498942506763968513"";https://twitter.com/l_t_futrell/status/498942506763968513",,,,,,,,
"SpaceeJammiinn;2014-08-11 14:22;0;0;"""";St Louis"," MO;;;""498942503106514945"";https://twitter.com/SpaceeJammiinn/status/498942503106514945",,,,,,,,
"TTTori11;2014-08-11 14:22;0;0;""@Twerkenburg hahaha id be honored"";Missouri"," USA;@Twerkenburg;;""498942492021374977"";https://twitter.com/TTTori11/status/498942492021374977",,,,,,,,
"HEYYOUDAR;2014-08-11 14:21;0;6;""what is up everyone's asses lately"," I am so happy & content with life & then someone has to come & ruin it all"";St Peters"," MO;;;""498942384747843584"";https://twitter.com/HEYYOUDAR/status/498942384747843584",,,,,,,
"Im_Greatness0;2014-08-11 14:21;0;0;""Iguess. I'll hangout by myself or wateva"";Granite City"," IL;;;""498942377923342336"";https://twitter.com/Im_Greatness0/status/498942377923342336",,,,,,,,
"beingtree;2014-08-11 14:21;0;0;"". @Costco IOS app doesn't use number obj type and show numerical keypad for all but one number field. #UXFail"";St Louis"," MO;@Costco;#UXFail;""498942347259174912"";https://twitter.com/beingtree/status/498942347259174912",,,,,,,,
"LovelyLifee;2014-08-11 14:21;0;0;""My bun look all sad"";Missouri"," USA;;;""498942337200832512"";https://twitter.com/LovelyLifee/status/498942337200832512",,,,,,,,
"Jerakal;2014-08-11 14:21;0;1;""Mr. Clean will clean your whole house... And there's nothing we can do to stop him."";Kirkwood"," MO;;;""498942244280221696"";https://twitter.com/Jerakal/status/498942244280221696",,,,,,,,
"thesarahrosex;2014-08-11 14:21;0;9;""Hello. I got the job at forever 21."";Richmond Heights"," MO;;;""498942206384697344"";https://twitter.com/thesarahrosex/status/498942206384697344",,,,,,,,
"srsly_jenna;2014-08-11 14:20;0;1;""@_ragingjorge your prayers????? Don't lie for twitter now. We all know you don't pray nor believe. So turn that ""prayer"" into ""thoughts."""";Florissant"," MO;@_ragingjorge;;""498942162294161408"";https://twitter.com/srsly_jenna/status/498942162294161408",,,,,,,,
"megaaanellis;2014-08-11 14:20;1;1;""@BigJerm_8 hahah oh yes. im holding you to that!"";St Peters"," MO;@BigJerm_8;;""498942041145884674"";https://twitter.com/megaaanellis/status/498942041145884674",,,,,,,,
"jimistlboy;2014-08-11 14:20;0;1;""McGee and Tru got the first team corner reps #ramscamp"";Bridgeton"," MO;;#ramscamp;""498942034946703360"";https://twitter.com/jimistlboy/status/498942034946703360",,,,,,,,
"beingtree;2014-08-11 14:20;0;0;"". @Costco app doesn't prefill Jon-sensitive non-error fields when one field has an error. #UXFail"";St Louis"," MO;@Costco;#UXFail;""498942028022312961"";https://twitter.com/beingtree/status/498942028022312961",,,,,,,,
"TTTori11;2014-08-11 14:20;0;0;""@Twerkenburg haha yeah #honorscollege swag"";Bridgeton"," MO;@Twerkenburg;#honorscollege;""498942011719036929"";https://twitter.com/TTTori11/status/498942011719036929",,,,,,,,
"CaseyNolen;2014-08-11 14:20;11;3;""Rerouting from #Ferguson to Clayton. STL County Prosecutor just called a press conference. #KSDK"";Jennings"," MO;;#Ferguson #KSDK;""498941936259313664"";https://twitter.com/CaseyNolen/status/498941936259313664",,,,,,,,
"xavier_menard;2014-08-11 14:19;0;0;""Before & After extensions @Xavier Menards Salon Prive #starstyle #beauty pic.twitter.com/PHLyHewWyA"";Maplewood"," MO;@Xavier;#starstyle #beauty;""498941925840277504"";https://twitter.com/xavier_menard/status/498941925840277504",,,,,,,,
"Boskii23;2014-08-11 14:19;0;0;""man its like 300 police cars in jennings"";Jennings"," MO;;;""498941835037786112"";https://twitter.com/Boskii23/status/498941835037786112",,,,,,,,
"Csizzlez;2014-08-11 14:19;0;1;""Psalm 119:14 #verseoftheday #bibleverse #Psalms http://www. verseoftheday.com pic.twitter.com/et9gPLEofe"";Missouri"," USA;;#verseoftheday #bibleverse #Psalms;""498941751650816000"";https://twitter.com/Csizzlez/status/498941751650816000",,,,,,,,
"RUREADY2TRUMBLE;2014-08-11 14:19;0;0;""73"";Florissant"," MO;;;""498941741991743488"";https://twitter.com/RUREADY2TRUMBLE/status/498941741991743488",,,,,,,,
"MrAntike184;2014-08-11 14:19;0;1;""@Az_Iff bye"";Granite City"," IL;@Az_Iff;;""498941737604108288"";https://twitter.com/MrAntike184/status/498941737604108288",,,,,,,,
